,App,Category,CategoryNum,Rating,Reviews,Size,Installs,Free,Price,Content Rating,Content RatingNum,Genre_1,Genre_2,Last Updated,Current Ver,Android Ver
14,Photo Designer - Write your name with shapes,ART_AND_DESIGN,1,4,3632,5500000,500000,1,0,Everyone,1,Art & Design,nan,31/07/2018,3.1,4.1
15,350 Diy Room Decor Ideas,ART_AND_DESIGN,1,4,27,17000000,10000,1,0,Everyone,1,Art & Design,nan,11/07/2017,1,2.3
16,FlipaClip - Cartoon animation,ART_AND_DESIGN,1,4,194216,39000000,5000000,1,0,Everyone,1,Art & Design,nan,08/03/2018,2.2.5,4.0.3
17,ibis Paint X,ART_AND_DESIGN,1,4,224399,31000000,10000000,1,0,Everyone,1,Art & Design,nan,30/07/2018,5.5.4,4.1
18,Logo Maker - Small Business,ART_AND_DESIGN,1,4,450,14000000,100000,1,0,Everyone,1,Art & Design,nan,20/04/2018,4,4.1
19,Boys Photo Editor - Six Pack & Men's Suit,ART_AND_DESIGN,1,4,654,12000000,100000,1,0,Everyone,1,Art & Design,nan,20/03/2018,1.1,4.0.3
20,Superheroes Wallpapers | 4K Backgrounds,ART_AND_DESIGN,1,4,7699,4200000,500000,1,0,Everyone 10+,3,Art & Design,nan,07/12/2018,2.2.6.2,4.0.3
21,HD Mickey Minnie Wallpapers,ART_AND_DESIGN,1,4,118,23000000,50000,1,0,Everyone,1,Art & Design,nan,07/07/2018,1.1.3,4.1
22,Harley Quinn wallpapers HD,ART_AND_DESIGN,1,4,192,6000000,10000,1,0,Everyone,1,Art & Design,nan,25/04/2018,1.5,3
23,Colorfit - Drawing & Coloring,ART_AND_DESIGN,1,4,20260,25000000,500000,1,0,Everyone,1,Art & Design,Creativity,10/11/2017,1.0.8,4.0.3
24,Animated Photo Editor,ART_AND_DESIGN,1,4,203,6100000,100000,1,0,Everyone,1,Art & Design,nan,21/03/2018,1.03,4.0.3
25,Pencil Sketch Drawing,ART_AND_DESIGN,1,3,136,4600000,10000,1,0,Everyone,1,Art & Design,nan,07/12/2018,6,2.3
26,Easy Realistic Drawing Tutorial,ART_AND_DESIGN,1,4,223,4200000,100000,1,0,Everyone,1,Art & Design,nan,22/08/2017,1,2.3
27,Pink Silver Bow Keyboard Theme,ART_AND_DESIGN,1,4,1120,9200000,100000,1,0,Everyone,1,Art & Design,nan,07/12/2018,6.7.12.2018,4.0.3
28,Art Drawing Ideas,ART_AND_DESIGN,1,4,227,5200000,50000,1,0,Everyone,1,Art & Design,nan,31/05/2018,1.2,2.3
29,Anime Manga Coloring Book,ART_AND_DESIGN,1,4,5035,11000000,100000,1,0,Everyone,1,Art & Design,nan,19/07/2018,2.2,4
30,Easy Origami Ideas,ART_AND_DESIGN,1,4,1015,11000000,100000,1,0,Everyone,1,Art & Design,nan,01/06/2018,1.1.0,4.1
31,I Creative Idea,ART_AND_DESIGN,1,4,353,4200000,10000,1,0,Teen,2,Art & Design,nan,27/04/2018,1.6,4.1
32,How to draw Ladybug and Cat Noir,ART_AND_DESIGN,1,3,564,9200000,100000,1,0,Everyone,1,Art & Design,nan,07/11/2018,2.1,4.1
33,UNICORN - Color By Number & Pixel Art Coloring,ART_AND_DESIGN,1,4,8145,24000000,500000,1,0,Everyone,1,Art & Design,Creativity,08/02/2018,1.0.9,4.4
34,PIP Camera - PIP Collage Maker,ART_AND_DESIGN,1,4,158,11000000,10000,1,0,Everyone,1,Art & Design,nan,29/11/2017,1.3,4.0.3
35,How To Color Disney Princess - Coloring Pages,ART_AND_DESIGN,1,4,591,9400000,500000,1,0,Everyone,1,Art & Design,nan,31/03/2018,1,4
36,Drawing Clothes Fashion Ideas,ART_AND_DESIGN,1,4,117,15000000,10000,1,0,Everyone,1,Art & Design,nan,20/07/2018,2.0.1,4.0.3
37,Sad Poetry Photo Frames 2018,ART_AND_DESIGN,1,4,176,10000000,100000,1,0,Everyone,1,Art & Design,nan,04/02/2018,1,4.0.3
38,Paint Splash!,ART_AND_DESIGN,1,3,2206,1200000,100000,1,0,Everyone,1,Art & Design,Creativity,15/04/2018,1.46,4.1
39,Popsicle Sticks and Similar DIY Craft Ideas,ART_AND_DESIGN,1,4,26,12000000,10000,1,0,Everyone,1,Art & Design,nan,01/03/2018,1.0.0,4.1
40,"Canva: Poster, banner, card maker & graphic design",ART_AND_DESIGN,1,4,174531,24000000,10000000,1,0,Everyone,1,Art & Design,nan,31/07/2018,1.6.1,4.1
41,Install images with music to make video without Net - 2018,ART_AND_DESIGN,1,4,1070,26000000,100000,1,0,Everyone,1,Art & Design,nan,14/11/2017,1.6,4.1
42,Little Teddy Bear Colouring Book Game,ART_AND_DESIGN,1,4,85,8000000,100000,1,0,Everyone,1,Art & Design,nan,17/12/2017,2.0.0,4.1
43,How To Draw Food,ART_AND_DESIGN,1,4,845,7900000,100000,1,0,Everyone,1,Art & Design,nan,28/05/2018,1,2.3
44,Monster Truck Stunt 3D 2019,AUTO_AND_VEHICLES,2,4,367,25000000,100000,1,0,Everyone,1,Auto & Vehicles,nan,05/10/2018,1,4.0.3
45,Real Tractor Farming,AUTO_AND_VEHICLES,2,4,1598,56000000,1000000,1,0,Everyone,1,Auto & Vehicles,nan,26/07/2018,11,4.1
46,Ultimate F1 Racing Championship,AUTO_AND_VEHICLES,2,3,284,57000000,100000,1,0,Everyone,1,Auto & Vehicles,nan,26/07/2018,3,4.1
47,American Muscle Car Race,AUTO_AND_VEHICLES,2,3,129,35000000,100000,1,0,Everyone,1,Auto & Vehicles,nan,26/07/2018,3,4.1
48,Offroad Oil Tanker Driver Transport Truck 2019,AUTO_AND_VEHICLES,2,4,542,33000000,100000,1,0,Everyone,1,Auto & Vehicles,nan,31/07/2018,4,4.1
49,Tickets SDA 2018 and Exam from the State Traffic Safety Inspectorate with Drom.ru,AUTO_AND_VEHICLES,2,4,10479,33000000,100000,1,0,Everyone,1,Auto & Vehicles,nan,18/07/2018,1.7.1,4
50,Gas Prices (Germany only),AUTO_AND_VEHICLES,2,4,805,5600000,50000,1,0,Everyone,1,Auto & Vehicles,nan,29/07/2018,2.5.1,4.4
51,Extreme Rally Championship,AUTO_AND_VEHICLES,2,4,129,54000000,100000,1,0,Everyone,1,Auto & Vehicles,nan,26/07/2018,3,4.1
52,Restart Navigator,AUTO_AND_VEHICLES,2,4,1403,201000,100000,1,0,Everyone,1,Auto & Vehicles,nan,26/08/2014,1.0.1,2.2
53,"REG - Check the regnumber, find information about Swedish vehicles",AUTO_AND_VEHICLES,2,3,3971,3600000,100000,1,0,Everyone,1,Auto & Vehicles,nan,30/07/2018,2.493,4.4
54,CityBus Lviv,AUTO_AND_VEHICLES,2,4,534,5700000,10000,1,0,Everyone,1,Auto & Vehicles,nan,07/08/2018,1.9.1,4.0.3
55,CDL Practice Test 2018 Edition,AUTO_AND_VEHICLES,2,4,7774,17000000,100000,1,0,Everyone,1,Auto & Vehicles,nan,07/03/2018,1.7,4.2
56,"ezETC (ETC balance inquiry, meter trial, real-time traffic)",AUTO_AND_VEHICLES,2,4,38846,8600000,1000000,1,0,Everyone,1,Auto & Vehicles,nan,28/07/2018,2.20 Build 02,4.1
57,Free VIN Report for Used Cars,AUTO_AND_VEHICLES,2,4,2431,2400000,100000,1,0,Everyone,1,Auto & Vehicles,nan,06/12/2018,1.37,4
58,DMV Permit Practice Test 2018 Edition,AUTO_AND_VEHICLES,2,4,6090,27000000,100000,1,0,Everyone,1,Auto & Vehicles,nan,07/03/2018,1.7,4.2
59,Check Vehicle Tax,AUTO_AND_VEHICLES,2,3,295,2700000,10000,1,0,Everyone,1,Auto & Vehicles,nan,30/07/2018,0.2.1,4.4
60,Used Cars Mexico,AUTO_AND_VEHICLES,2,4,190,2500000,50000,1,0,Everyone,1,Auto & Vehicles,nan,14/10/2016,1,2.3
61,Used cars for sale - Trovit,AUTO_AND_VEHICLES,2,4,52530,7000000,5000000,1,0,Everyone,1,Auto & Vehicles,nan,16/07/2018,4.47.3,4.0.3
62,"Fines of the State Traffic Safety Inspectorate are official: inspection, payment of fines",AUTO_AND_VEHICLES,2,4,116986,35000000,5000000,1,0,Everyone,1,Auto & Vehicles,nan,08/02/2018,1.9.7,4.0.3
63,SK Enca Direct Malls - Used Cars Search,AUTO_AND_VEHICLES,2,3,1379,16000000,500000,1,0,Everyone,1,Auto & Vehicles,nan,08/02/2018,2.2.21,4.2
64,Tickets SDA 2019 + Exam RF,AUTO_AND_VEHICLES,2,4,7021,17000000,500000,1,0,Everyone,1,Auto & Vehicles,nan,27/07/2018,1.79,4
65,Super Cars Wallpapers And Backgrounds,AUTO_AND_VEHICLES,2,4,197,3400000,50000,1,0,Everyone,1,Auto & Vehicles,nan,14/06/2018,1.3,4
66,"Police Lights, Sirens & Follow Me",AUTO_AND_VEHICLES,2,4,737,8900000,100000,1,0,Everyone,1,Auto & Vehicles,nan,06/08/2018,2.3.5.1,4.1
67,Police Detector (Speed Camera Radar),AUTO_AND_VEHICLES,2,4,3574,3900000,1000000,1,0,Everyone 10+,3,Auto & Vehicles,nan,07/04/2018,1.6,4
68,Best Car Wallpapers,AUTO_AND_VEHICLES,2,4,994,2900000,100000,1,0,Everyone,1,Auto & Vehicles,nan,27/03/2018,1.6,4.1
69,Tickets + PDA 2018 Exam,AUTO_AND_VEHICLES,2,4,197136,38000000,1000000,1,0,Everyone,1,Auto & Vehicles,nan,15/07/2018,8.31,4.1
70,Pick Your Part Garage,AUTO_AND_VEHICLES,2,3,142,32000000,50000,1,0,Everyone,1,Auto & Vehicles,nan,24/07/2018,1.1.5.0,6
71,PakWheels: Buy & Sell Cars,AUTO_AND_VEHICLES,2,4,15168,37000000,1000000,1,0,Everyone,1,Auto & Vehicles,nan,27/07/2018,10.0.2,4.2
72,Supervision service,AUTO_AND_VEHICLES,2,4,2155,15000000,500000,1,0,Everyone,1,Auto & Vehicles,nan,30/07/2018,1.10.3,5
73,Speed Camera Detector - Traffic & Speed Alert,AUTO_AND_VEHICLES,2,4,138,5400000,100000,1,0,Everyone,1,Auto & Vehicles,nan,23/07/2018,1,4.0.3
74,Used car search Goo net whole car Go to net,AUTO_AND_VEHICLES,2,3,5414,18000000,1000000,1,0,Everyone,1,Auto & Vehicles,nan,23/07/2018,3.20.1,4.4
75,BEST CAR SOUNDS,AUTO_AND_VEHICLES,2,4,348,38000000,100000,1,0,Everyone,1,Auto & Vehicles,nan,29/07/2018,1.0.3,2.3
76,RST - Sale of cars on the PCT,AUTO_AND_VEHICLES,2,3,250,1100000,100000,1,0,Everyone,1,Auto & Vehicles,nan,27/04/2018,1.4,4.0.3
77,SMS Park,AUTO_AND_VEHICLES,2,4,3617,7900000,100000,1,0,Everyone,1,Auto & Vehicles,nan,16/05/2018,2.8.2,4.1
78,SKencar,AUTO_AND_VEHICLES,2,3,4806,35000000,1000000,1,0,Everyone,1,Auto & Vehicles,nan,31/07/2018,4.0.3,4.0.3
79,auto fines,AUTO_AND_VEHICLES,2,4,31433,17000000,1000000,1,0,Everyone,1,Auto & Vehicles,nan,08/02/2018,1.4,4.0.3
80,"Used car is the first car - used car purchase, used car quotation, dealer information to",AUTO_AND_VEHICLES,2,4,5097,19000000,1000000,1,0,Everyone,1,Auto & Vehicles,nan,23/07/2018,1.5.18,4.0.3
81,All of the parking lot - National Park application (parking lot search / parking sharing / discount payment),AUTO_AND_VEHICLES,2,4,1754,14000000,500000,1,0,Everyone,1,Auto & Vehicles,nan,06/02/2018,2.3.4,4
82,Inquiry Fines and Debits of Vehicles,AUTO_AND_VEHICLES,2,4,2680,2200000,500000,1,0,Everyone,1,Auto & Vehicles,nan,20/03/2018,1.03,4.0.3
83,Gas Station,AUTO_AND_VEHICLES,2,4,1288,4500000,100000,1,0,Everyone,1,Auto & Vehicles,nan,21/04/2018,2.17,4
84,Hush - Beauty for Everyone,BEAUTY,3,4,18900,17000000,500000,1,0,Everyone,1,Beauty,nan,08/02/2018,6.10.1,5
85,"ipsy: Makeup, Beauty, and Tips",BEAUTY,3,4,49790,14000000,1000000,1,0,Everyone,1,Beauty,nan,11/09/2017,2.3.0,4.1
86,Natural recipes for your beauty,BEAUTY,3,4,1150,9800000,100000,1,0,Everyone,1,Beauty,nan,15/05/2018,4,4.1
87,"BestCam Selfie-selfie, beauty camera, photo editor",BEAUTY,3,3,1739,21000000,500000,1,0,Everyone,1,Beauty,nan,07/12/2018,1.0.6,4.0.3
88,Beauty Selfie Camera,BEAUTY,3,4,2225,52000000,500000,1,0,Everyone,1,Beauty,nan,28/02/2018,1.6,4.1
89,Hairstyles step by step,BEAUTY,3,4,4369,14000000,100000,1,0,Everyone,1,Beauty,nan,25/07/2018,1.9,4.0.3
90,Filters for Selfie,BEAUTY,3,4,8572,25000000,1000000,1,0,Everyone,1,Beauty,nan,05/10/2018,1.1.0,4
91,Tie - Always be happy,BEAUTY,3,4,964,9000000,50000,1,0,Everyone,1,Beauty,nan,21/06/2018,4,4.2
92,Prom MakeUp Tutorial,BEAUTY,3,4,104,12000000,10000,1,0,Everyone,1,Beauty,nan,26/06/2018,1.3,4.0.3
93,Sweet Selfie Beauty Camera,BEAUTY,3,4,601,35000000,100000,1,0,Everyone,1,Beauty,nan,06/02/2018,2.0.0,4
94,Colors of white in Urdu,BEAUTY,3,4,36,6700000,10000,1,0,Everyone,1,Beauty,nan,26/07/2018,6,4
95,Selfie Camera Photo Editor & Filter & Sticker,BEAUTY,3,4,187,30000000,50000,1,0,Teen,2,Beauty,nan,24/07/2018,3.0.1,4.0.3
96,Eyes Makeup Beauty Tips,BEAUTY,3,4,30,2900000,10000,1,0,Everyone,1,Beauty,nan,04/09/2018,3.3.9,4.0.3
97,Photo Editor 2018,BEAUTY,3,4,134,17000000,10000,1,0,Everyone,1,Beauty,nan,03/01/2018,1.2,4.0.3
98,Step By Step Eyes Makeup Tutorial,BEAUTY,3,4,74,2900000,10000,1,0,Everyone,1,Beauty,nan,04/05/2018,2.3.09,4.0.3
99,Mirror Camera (Mirror + Selfie Camera),BEAUTY,3,4,9315,2600000,1000000,1,0,Everyone,1,Beauty,nan,21/11/2017,1.4.2,4
100,Beauty Tips - Beauty Tips in Sinhala,BEAUTY,3,4,75,4200000,50000,1,0,Everyone,1,Beauty,nan,18/10/2017,1.0.0,4.0.3
101,Haircut Tutorials/Haircut Videos,BEAUTY,3,4,38,7100000,10000,1,0,Everyone,1,Beauty,nan,29/05/2018,1,4
102,"Sephora: Skin Care, Beauty Makeup & Fragrance Shop",BEAUTY,3,4,26834,57000000,1000000,1,0,Everyone,1,Beauty,nan,24/07/2018,18.5,5
103,"Sticker Camera - Selfie Filters, Beauty Camera",BEAUTY,3,3,2277,22000000,500000,1,0,Everyone,1,Beauty,nan,07/12/2018,1.1.0,4.0.3
104,Filters for B Live,BEAUTY,3,4,2280,24000000,500000,1,0,Everyone,1,Beauty,nan,14/05/2018,1.1.0,4
105,Facial Wrinkle Reduction,BEAUTY,3,4,184,21000000,10000,1,0,Everyone,1,Beauty,nan,07/02/2018,1.5,4.1
106,Makeup Videos,BEAUTY,3,3,9,3400000,5000,1,0,Everyone,1,Beauty,nan,06/07/2018,1,4
107,Discover Color,BEAUTY,3,4,364,6400000,100000,1,0,Everyone,1,Beauty,nan,24/05/2018,1.1,4.0.3
108,Eyeliner step by step 2018,BEAUTY,3,4,18,3200000,5000,1,0,Everyone,1,Beauty,nan,06/01/2018,1.2.13,4.0.3
109,Dresses Ideas & Fashions +3000,BEAUTY,3,4,473,8199999,100000,1,0,Mature 17+,4,Beauty,nan,03/01/2017,1.0.2.0,1.6
110,Step By Step Hairstyles For Women,BEAUTY,3,4,66,2900000,10000,1,0,Everyone,1,Beauty,nan,04/05/2018,3.1.89,4.0.3
111,Rainbow Camera,BEAUTY,3,3,3871,23000000,1000000,1,0,Everyone,1,Beauty,nan,30/07/2018,2.2.0,4
112,Methods of teeth whitening,BEAUTY,3,4,257,4600000,50000,1,0,Everyone,1,Beauty,nan,08/07/2017,1,4.0.3
113,Girls hairstyles 2018,BEAUTY,3,4,62,3100000,10000,1,0,Everyone,1,Beauty,nan,28/05/2018,1.9.2,4.0.3
114,E-Book Read - Read Book for free,BOOKS_AND_REFERENCE,4,4,1857,4900000,50000,1,0,Everyone,1,Books & Reference,nan,08/03/2018,1.3.2,4.4
115,Download free book with green book,BOOKS_AND_REFERENCE,4,4,4478,9500000,100000,1,0,Everyone 10+,3,Books & Reference,nan,31/07/2017,1.1,4
116,Free Panda Radio Music,BOOKS_AND_REFERENCE,4,4,418,4200000,100000,1,0,Everyone,1,Books & Reference,nan,27/03/2018,2.1,4.1
117,Book store,BOOKS_AND_REFERENCE,4,4,22486,5400000,1000000,1,0,Teen,2,Books & Reference,nan,06/06/2018,3.2.1,4
118,English Grammar Complete Handbook,BOOKS_AND_REFERENCE,4,4,1435,2800000,500000,1,0,Everyone,1,Books & Reference,nan,21/01/2018,1,4
119,Free Books - Spirit Fanfiction and Stories,BOOKS_AND_REFERENCE,4,4,116507,5000000,1000000,1,0,Teen,2,Books & Reference,nan,08/01/2018,2.0.075,4.0.3
120,AlReader -any text book reader,BOOKS_AND_REFERENCE,4,4,90468,5900000,5000000,1,0,Everyone,1,Books & Reference,nan,27/05/2018,1.91180527,2.3
121,Offline English Dictionary,BOOKS_AND_REFERENCE,4,4,860,13000000,100000,1,0,Everyone,1,Books & Reference,nan,17/07/2018,1,4.0.3
122,Oxford Dictionary of English : Free,BOOKS_AND_REFERENCE,4,4,363934,7100000,10000000,1,0,Everyone,1,Books & Reference,nan,07/11/2018,9.1.363,4.1
123,Offline: English to Tagalog Dictionary,BOOKS_AND_REFERENCE,4,4,967,6700000,500000,1,0,Everyone,1,Books & Reference,nan,08/04/2018,1.1.6,4.0.3
124,FamilySearch Tree,BOOKS_AND_REFERENCE,4,4,17506,17000000,1000000,1,0,Everyone,1,Books & Reference,nan,20/07/2018,2.3.18,4.1
125,Cloud of Books,BOOKS_AND_REFERENCE,4,3,1862,19000000,1000000,1,0,Everyone,1,Books & Reference,nan,27/04/2018,2.2.5,4.1
126,Recipes of Prophetic Medicine for free,BOOKS_AND_REFERENCE,4,4,2084,6700000,500000,1,0,Everyone,1,Books & Reference,nan,17/05/2018,15,2.3
127,ReadEra â€“ free ebook reader,BOOKS_AND_REFERENCE,4,4,47303,21000000,1000000,1,0,Everyone,1,Books & Reference,nan,06/02/2018,18.05.31+530,4.1
128,Ebook Reader,BOOKS_AND_REFERENCE,4,4,85842,37000000,5000000,1,0,Everyone,1,Books & Reference,nan,25/06/2018,5.0.6,4
129,Litnet - E-books,BOOKS_AND_REFERENCE,4,4,7831,15000000,100000,1,0,Teen,2,Books & Reference,nan,07/04/2018,1.2.3,4
130,Read books online,BOOKS_AND_REFERENCE,4,4,91615,23000000,5000000,1,0,Mature 17+,4,Books & Reference,nan,29/06/2018,3.12,4.1
131,English to Urdu Dictionary,BOOKS_AND_REFERENCE,4,4,4620,19000000,500000,1,0,Everyone,1,Books & Reference,nan,23/11/2017,2,4.0.3
132,eBoox: book reader fb2 epub zip,BOOKS_AND_REFERENCE,4,4,21336,23000000,1000000,1,0,Everyone,1,Books & Reference,nan,20/06/2018,1.28,3
133,English Persian Dictionary,BOOKS_AND_REFERENCE,4,4,26875,73000000,500000,1,0,Everyone,1,Books & Reference,nan,08/01/2018,6.0.8,4.0.3
134,Flybook,BOOKS_AND_REFERENCE,4,3,1778,4900000,500000,1,0,Mature 17+,4,Books & Reference,nan,16/10/2014,1.0.3,2.1
135,All Maths Formulas,BOOKS_AND_REFERENCE,4,4,2709,6800000,1000000,1,0,Everyone,1,Books & Reference,nan,07/11/2018,1.9,4.4
136,English translation from Bengali,BOOKS_AND_REFERENCE,4,4,527,2900000,100000,1,0,Everyone,1,Books & Reference,nan,31/03/2018,14,4
137,Pdf Book Download - Read Pdf Book,BOOKS_AND_REFERENCE,4,4,1322,3500000,100000,1,0,Everyone,1,Books & Reference,nan,28/05/2018,6,4.0.3
138,Free Book Reader,BOOKS_AND_REFERENCE,4,3,1680,4000000,100000,1,0,Everyone,1,Books & Reference,nan,20/08/2016,3.05,4.0.3
139,eBoox new: Reader for fb2 epub zip books,BOOKS_AND_REFERENCE,4,4,2739,21000000,50000,1,0,Everyone,1,Books & Reference,nan,17/07/2018,2,3
140,"Only 30 days in English, the guideline is guaranteed",BOOKS_AND_REFERENCE,4,4,1065,2300000,500000,1,0,Everyone,1,Books & Reference,nan,16/06/2018,1.5,3
141,English-Myanmar Dictionary,BOOKS_AND_REFERENCE,4,4,8788,10000000,1000000,1,0,Everyone,1,Books & Reference,nan,28/07/2018,2.5.3,4
142,Golden Dictionary (EN-AR),BOOKS_AND_REFERENCE,4,4,51269,6100000,1000000,1,0,Everyone,1,Books & Reference,nan,19/07/2018,7.0.4.6,4.2
143,All Language Translator Free,BOOKS_AND_REFERENCE,4,4,30105,2100000,1000000,1,0,Everyone,1,Books & Reference,nan,29/07/2018,1.15,4.0.3
144,Azpen eReader,BOOKS_AND_REFERENCE,4,3,156,42000000,500000,1,0,Everyone,1,Books & Reference,nan,15/02/2018,3.1.7.9,2.2
145,English Dictionary - Offline,BOOKS_AND_REFERENCE,4,4,341157,30000000,10000000,1,0,Everyone 10+,3,Books & Reference,nan,20/03/2018,3.9.1,4.2
146,ADP Mobile Solutions,BUSINESS,5,4,85185,29000000,5000000,1,0,Everyone,1,Business,nan,17/07/2018,3.4.2,5
147,OfficeSuite : Free Office + PDF Editor,BUSINESS,5,4,1002861,35000000,100000000,1,0,Everyone,1,Business,nan,08/02/2018,9.7.14188,4.1
148,USPS MOBILEÂ®,BUSINESS,5,3,16589,9100000,1000000,1,0,Everyone,1,Business,nan,14/06/2018,4.9.10,4.0.3
149,Job Search by ZipRecruiter,BUSINESS,5,4,148945,25000000,1000000,1,0,Everyone,1,Business,nan,19/07/2018,5.2.8,5
150,Curriculum vitae App CV Builder Free Resume Maker,BUSINESS,5,4,4458,3900000,500000,1,0,Everyone,1,Business,nan,07/08/2018,3.3,4.1
151,Google Primer,BUSINESS,5,4,62272,18000000,10000000,1,0,Everyone,1,Business,nan,26/06/2018,3.550.2,4.1
152,Alba Heaven - Alvarez Job Portal Services,BUSINESS,5,4,8941,12000000,5000000,1,0,Everyone,1,Business,nan,31/07/2018,4.6.30,4.0.3
153,SuperLivePro,BUSINESS,5,4,46353,21000000,1000000,1,0,Everyone,1,Business,nan,13/04/2016,2.8,1.5
154,Polaris Office for LG,BUSINESS,5,4,30847,55000000,5000000,1,0,Everyone,1,Business,nan,02/08/2018,7.3.21,4.1
155,Call Blocker,BUSINESS,5,4,188841,3200000,5000000,1,0,Everyone,1,Business,nan,21/06/2018,1.1.13,4
156,Plugin:AOT v5.0,BUSINESS,5,3,4034,23000,100000,1,0,Everyone,1,Business,nan,09/11/2015,3.0.1.11 (Build 311),2.2
157,Kariyer.net,BUSINESS,5,3,45964,16000000,1000000,1,0,Everyone,1,Business,nan,18/07/2018,5.1.5,4.1
158,Become a Job - Find a job or advertise,BUSINESS,5,4,6903,14000000,1000000,1,0,Everyone,1,Business,nan,07/10/2018,2.3.6,4.1
159,ZOOM Cloud Meetings,BUSINESS,5,4,31614,37000000,10000000,1,0,Everyone,1,Business,nan,20/07/2018,4.1.28165.0716,4
160,"IndiaMART: Search Products, Buy, Sell & Trade",BUSINESS,5,4,207372,11000000,5000000,1,0,Everyone,1,Business,nan,08/02/2018,12.2.4,4
161,ViettelPost express delivery,BUSINESS,5,4,1225,25000000,100000,1,0,Everyone,1,Business,nan,08/01/2018,1.0.6.8,4.1
162,MyASUS - Service Center,BUSINESS,5,4,380837,7300000,10000000,1,0,Everyone,1,Business,nan,07/04/2018,3.4.5,4.2
163,Job Korea - Career Jobs,BUSINESS,5,4,10600,6500000,1000000,1,0,Everyone,1,Business,nan,08/01/2018,2.5.6,4
164,"104 Looking for a job - looking for a job, looking for a job, looking for a part-time job, health checkup, resume, treatment room",BUSINESS,5,4,74359,25000000,1000000,1,0,Everyone,1,Business,nan,27/07/2018,1.12.5,4
165,Myanmar 2D/3D,BUSINESS,5,4,822,3100000,100000,1,0,Everyone,1,Business,nan,06/08/2018,1.5,4.0.3
166,sABN,BUSINESS,5,4,2287,1500000,1000000,1,0,Everyone,1,Business,nan,26/03/2018,4.9,2.2
167,ATI Cargoes and Transportation,BUSINESS,5,4,4162,7500000,100000,1,0,Everyone,1,Business,nan,24/07/2018,0.9.4,4.0.3
168,Secure Folder,BUSINESS,5,3,14760,8600000,50000000,1,0,Everyone,1,Business,nan,31/01/2018,1.1.07.6,7
169,Tiny Scanner - PDF Scanner App,BUSINESS,5,4,286897,39000000,10000000,1,0,Everyone,1,Business,nan,30/05/2017,1.2.6,3
170,Fast Scanner : Free PDF Scan,BUSINESS,5,4,103755,14000000,10000000,1,0,Everyone,1,Business,nan,07/11/2018,3.9.2,4.1
171,Mobile Doc Scanner (MDScan) Lite,BUSINESS,5,4,46505,19000000,1000000,1,0,Everyone,1,Business,nan,08/02/2018,3.4.49,4.1
172,TurboScan: scan documents and receipts in PDF,BUSINESS,5,4,11442,6800000,100000,0,4.99,Everyone,1,Business,nan,25/03/2018,1.5.2,4
173,Tiny Scanner Pro: PDF Doc Scan,BUSINESS,5,4,10295,39000000,100000,0,4.99,Everyone,1,Business,nan,04/11/2017,3.4.6,3
